Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
U.K.,213,142656613,80.0,75.0
Uganda,47,20899440,36.0,24.0
Ukraine,71,31668577,36.0,34.0
United States,176,583478451,78.0,66.0
Uruguay,240,8302502,86.0,83.0
Uzbekistan,150,50434421,58.0,44.0
Vanuatu,100,301000,57.0,39.0
Venezuela,133,37860994,78.0,50.0
Vietnam,225,216959400,86.0,82.0
West Bank & Gaza,79,3720221,43.0,38.0
Yemen,2,828687,2.3,1.5
Zambia,25,4392293,18.0,16.0
Zimbabwe,79,11619763,42.0,30.0
